Operon type	Target	AssemblyId	Gene direction	Gene start	Gene end	Relative gene start	Relative gene end	Protein family code	EntrzID	Protein name	Transmembrane/Signal peptide prediction	Superkingdom	Phylum	Class	Order	Genus	Species


Type	B2VEG9_ERWT9	GCA_000026185.1	+	2137364	2137951	-5606	-5019	0	CAO96931.1	Peptidyl-tRNA hydrolase		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwinia	Erwinia tasmaniensis Et1/99
Type	B2VEG9_ERWT9	GCA_000026185.1	-	2138187	2139668	-4783	-3302	3	CAO96932.1	Putative sulfate transporter YbaR	TM	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwinia	Erwinia tasmaniensis Et1/99
Type	B2VEG9_ERWT9	GCA_000026185.1	+	2140020	2141111	-2950	-1859	0	CAO96933.1	Putative GTP-binding protein		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwinia	Erwinia tasmaniensis Et1/99
Type	B2VEG9_ERWT9	GCA_000026185.1	+	2141438	2142622	-1532	-348	0	CAO96934.1	Conserved hypothetical protein		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwinia	Erwinia tasmaniensis Et1/99
Type	B2VEG9_ERWT9	GCA_000026185.1	+	2142971	2144206	1	1236	21	CAO96935.1	Raffinose permease	TM	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwinia	Erwinia tasmaniensis Et1/99
Type	B2VEG9_ERWT9	GCA_000026185.1	+	2144256	2145725	1286	2755	15	CAO96936.1	Sucrose-6-phosphate hydrolase		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwinia	Erwinia tasmaniensis Et1/99
Type	B2VEG9_ERWT9	GCA_000026185.1	-	2145759	2146751	2789	3781	17	CAO96937.1	Sucrose operon repressor LacI-family		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwinia	Erwinia tasmaniensis Et1/99
Type	B2VEG9_ERWT9	GCA_000026185.1	-	2146840	2147100	3870	4130	0	CAO96938.1	hypothetical protein		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwinia	Erwinia tasmaniensis Et1/99
Type	B2VEG9_ERWT9	GCA_000026185.1	-	2147164	2148234	4194	5264	0	CAO96939.1	hypothetical protein		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwinia	Erwinia tasmaniensis Et1/99

Type	I8TT21_9FIRM	GCA_000271665.2	-	4075537	4076220	-5065	-4382	0	AJQ28977.1	DNA alkylation repair enzyme		Bacteria	Bacillota	Negativicutes	Selenomonadales	Pelosinus	Pelosinus fermentans JBW45
Type	I8TT21_9FIRM	GCA_000271665.2	+	4074771	4075337	-4182	-3616	0	AJQ28976.1	transcriptional regulator with only HTH domain%2C AraC family		Bacteria	Bacillota	Negativicutes	Selenomonadales	Pelosinus	Pelosinus fermentans JBW45
Type	I8TT21_9FIRM	GCA_000271665.2	+	4073075	4074049	-2894	-1920	17	AJQ28975.1	transcriptional regulator%2C LacI family		Bacteria	Bacillota	Negativicutes	Selenomonadales	Pelosinus	Pelosinus fermentans JBW45
