Operon type	Target	AssemblyId	Gene direction	Gene start	Gene end	Relative gene start	Relative gene end	Protein family code	EntrzID	Protein name	Transmembrane/Signal peptide prediction	Superkingdom	Phylum	Class	Order	Genus	Species




Type	WP_000291547.1	GCF_012062925.1	-	119843	121507	-7095	-5431	40	WP_001007420.1	bifunctional 3-(3-hydroxy-phenyl)propionate/3-hydroxycinnamic acid hydroxylase		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Escherichia	Escherichia coli
Type	WP_000291547.1	GCF_012062925.1	+	118819	119652	-5240	-4407	39	WP_001310207.1	DNA-binding transcriptional regulator		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Escherichia	Escherichia coli
Type	WP_000291547.1	GCF_012062925.1	+	117660	118742	-4330	-3248	65	WP_000805890.1	DNA-binding transcriptional repressor LacI		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Escherichia	Escherichia coli
Type	WP_000291547.1	GCF_012062925.1	+	114463	117537	-3125	-51	64	WP_000177888.1	beta-galactosidase		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Escherichia	Escherichia coli
Type	WP_000291547.1	GCF_012062925.1	+	113158	114411	1	1254	67	WP_000291547.1	lactose permease		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Escherichia	Escherichia coli
Type	WP_000291547.1	GCF_012062925.1	+	112481	113092	1320	1931	38	WP_024179521.1	galactoside O-acetyltransferase		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Escherichia	Escherichia coli
Type	WP_000291547.1	GCF_012062925.1	-	111197	112378	2034	3215	37	WP_001361918.1	cyanate transporter CynX		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Escherichia	Escherichia coli
Type	WP_000291547.1	GCF_012062925.1	-	110721	111191	3221	3691	36	WP_000616241.1	cyanase		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Escherichia	Escherichia coli
Type	WP_000291547.1	GCF_012062925.1	-	110031	110690	3722	4381	35	WP_000658640.1	carbonic anhydrase CynT		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Escherichia	Escherichia coli

Type	WP_072833029.1	GCF_001892205.1	-	194738	196402	-7095	-5431	40	WP_001007448.1	bifunctional 3-(3-hydroxy-phenyl)propionate/3-hydroxycinnamic acid hydroxylase		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Escherichia	Escherichia coli
Type	WP_072833029.1	GCF_001892205.1	+	196593	197426	-5240	-4407	39	WP_001306931.1	DNA-binding transcriptional regulator		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Escherichia	Escherichia coli
Type	WP_072833029.1	GCF_001892205.1	+	197503	198585	-4330	-3248	65	WP_000805902.1	DNA-binding transcriptional repressor LacI		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Escherichia	Escherichia coli
Type	WP_072833029.1	GCF_001892205.1	+	198708	201782	-3125	-51	64	WP_032283020.1	beta-galactosidase		Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Escherichia	Escherichia coli
